Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Le Pen;Marine;Non inscrit;Front National;OMC_PA720614
Leroy;Maurice;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA1960
Lescure;Roland;La République en Marche;En marche !;OMC_PA721134
Letchimy;Serge;Nouvelle Gauche;Parti progressiste martiniquais;OMC_PA337483
Le Vigoureux;Fabrice;La République en Marche;En marche !;OMC_PA719006
Levy;Geneviève;Les Républicains;Les Républicains;OMC_PA267378
Limon;Monique;La République en Marche;En marche !;OMC_PA719858
Lioger;Richard;La République en Marche;En marche !;OMC_PA720378
Liso;Brigitte;La République en Marche;En marche !;OMC_PA720446
Lorho;Marie-France;Non inscrit;Non déclaré(s);OMC_PA721932
Lorion;David;Les Républicains;Les Républicains;OMC_PA721054
Louis;Alexandra;La République en Marche;En marche !;OMC_PA718918
Louwagie;Véronique;Les Républicains;Les Républicains;OMC_PA608016
Luquet;Aude;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721530
Lurton;Gilles;Les Républicains;Les Républicains;OMC_PA606712
Magne;Marie-Ange;La République en Marche;En marche !;OMC_PA722244
Magnier;Lise;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA720230
Maillard;Sylvain;La République en Marche;En marche !;OMC_PA717379
Maillart-Méhaignerie;Laurence;La République en Marche;En marche !;OMC_PA719718
Maire;Jacques;La République en Marche;En marche !;OMC_PA722178
Manin;Josette;Nouvelle Gauche;Parti progressiste martiniquais;OMC_PA720988
Maquet;Emmanuel;Les Républicains;Les Républicains;OMC_PA346054
Maquet;Jacqueline;La République en Marche;En marche !;OMC_PA334116
Marilossian;Jacques;La République en Marche;En marche !;OMC_PA721946
Marleix;Olivier;Les Républicains;Les Républicains;OMC_PA606098
Marlin;Franck;Les Républicains;Les Républicains;OMC_PA2086
Marsaud;Sandra;La République en Marche;En marche !;OMC_PA719080
Martin;Didier;La République en Marche;En marche !;OMC_PA719154
Masséglia;Denis;La République en Marche;En marche !;OMC_PA720146
Masson;Jean-Louis;Les Républicains;Les Républicains;OMC_PA346218
Mathiasin;Max;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720976
Matras;Fabien;La République en Marche;En marche !;OMC_PA721800
