"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"SOMMER","Denis","LREM","En Marche !","H","Doubs","denis-sommer","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719420"
"CHARVIER","Fannette","LREM","En Marche !","F","Doubs","fannette-charvier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719170"
"SORRE","Bertrand","LREM","En Marche !","H","Manche","bertrand-sorre","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720190"
"TRAVERT","Stéphane","LREM","En Marche !","H","Manche","stephane-travert","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA607395"
"GOSSELIN","Philippe","LR","Les Républicains","H","Manche","philippe-gosselin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA266797"
"KHATTABI","Fadila","LREM","En Marche !","F","Côte-d'Or","fadila-khattabi","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719186"
"FUCHS","Bruno","MODEM","En Marche !","H","Haut-Rhin","bruno-fuchs","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722284"
"BECHT","Olivier","LC","Les Républicains","H","Haut-Rhin","olivier-becht","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642935"
"SCHELLENBERGER","Raphaël","LR","Les Républicains","H","Haut-Rhin","raphael-schellenberger","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721314"
"REITZER","Jean-Luc","LR","Les Républicains","H","Haut-Rhin","jean-luc-reitzer","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA2529"
"CATTIN","Jacques","LR","Les Républicains","H","Haut-Rhin","jacques-cattin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA767"
"STRAUMANN","Eric","LR","Les Républicains","H","Haut-Rhin","eric-straumann","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA334654"
"TIEGNA","Huguette","LREM","En Marche !","F","Lot","huguette-tiegna","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720014"
"PRADIÉ","Aurélien","LR","Les Républicains","H","Lot","aurelien-pradie","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720100"
"KOKOUENDO","Rodrigue","LREM","En Marche !","H","Seine-et-Marne","rodrigue-kokouendo","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721644"
"PARIGI","Jean-François","LR","Les Républicains","H","Seine-et-Marne","jean-francois-parigi","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721636"
"RIESTER","Franck","LC","Les Républicains","H","Seine-et-Marne","franck-riester","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA335758"
"JACOB","Christian","LR","Les Républicains","H","Seine-et-Marne","christian-jacob","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1695"
"JEGO","Yves","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Seine-et-Marne","yves-jego","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267801"
"LACROUTE","Valérie","LR","Les Républicains","F","Seine-et-Marne","valerie-lacroute","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA609245"
"LUQUET","Aude","MODEM","Mouvement Démocrate","F","Seine-et-Marne","aude-luquet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721530"
"PEYRON","Michèle","LREM","En Marche !","F","Seine-et-Marne","michele-peyron","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721710"
"FAUVERGUE","Jean-Michel","LREM","En Marche !","H","Seine-et-Marne","jean-michel-fauvergue","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721702"
"LARSONNEUR","Jean-Charles","LREM","En Marche !","H","Finistère","jean-charles-larsonneur","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719396"
"LE GAC","Didier","LREM","En Marche !","H","Finistère","didier-le-gac","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719404"
"LE MEUR","Annaïg","LREM","En Marche !","F","Finistère","annaig-le-meur","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719388"
"FERRAND","Richard","LREM","En Marche !","H","Finistère","richard-ferrand","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA606171"
"FESNEAU","Marc","MODEM","Mouvement Démocrate","H","Loir-et-Cher","marc-fesneau","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719938"
