"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"BORCHIO FONTIMP","Alexandra","Groupe Les Républicains","Les Républicains","F","Alpes-Maritimes","alexandra-borchio-fontimp","http://www.senat.fr/senateur/borchio_fontimp_alexandra20138d.html"
"BOUAD","Denis","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Gard","denis-bouad","http://www.senat.fr/senateur/bouad_denis20088l.html"
"BOUCHET","Gilbert","Groupe Les Républicains","Les Républicains","H","Drôme","gilbert-bouchet","http://www.senat.fr/senateur/bouchet_gilbert14105f.html"
"BOULAY-ESPÉRONNIER","Céline","Groupe Les Républicains","Mouvement Démocrate","F","Paris","celine-boulay-esperonnier","http://www.senat.fr/senateur/boulay_esperonnier_celine19643a.html"
"BOULOUX","Yves","Groupe Les Républicains","Les Républicains","H","Vienne","yves-bouloux","http://www.senat.fr/senateur/bouloux_yves19747h.html"
"BOURGI","Hussein","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Hérault","hussein-bourgi","http://www.senat.fr/senateur/bourgi_hussein20114u.html"
"BOURRAT","Toine","Groupe Les Républicains","Les Républicains","F","Yvelines","toine-bourrat","http://www.senat.fr/senateur/bourrat_toine20152b.html"
"BOYER","Jean-Marc","Groupe Les Républicains","Les Républicains","H","Puy-de-Dôme","jean-marc-boyer","http://www.senat.fr/senateur/boyer_jean_marc19383y.html"
"BOYER","Valérie","Groupe Les Républicains","Les Républicains","F","Bouches-du-Rhône","valerie-boyer","http://www.senat.fr/senateur/boyer_valerie17737w.html"
"BRIQUET","Isabelle","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Haute-Vienne","isabelle-briquet","http://www.senat.fr/senateur/briquet_isabelle20080c.html"
"BRISSON","Max","Groupe Les Républicains","Les Républicains","H","Pyrénées-Atlantiques","max-brisson","http://www.senat.fr/senateur/brisson_max19621t.html"
"BRULIN","Céline","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","F","Seine-Maritime","celine-brulin","http://www.senat.fr/senateur/brulin_celine19758l.html"
"BUFFET","François-Noël","Groupe Les Républicains","Les Républicains","H","Rhône","francois-noel-buffet","http://www.senat.fr/senateur/buffet_francois_noel04047h.html"
"BUIS","Bernard","Groupe Rassemblement des démocrates, progressistes et indépendants","En marche !","H","Drôme","bernard-buis","http://www.senat.fr/senateur/buis_bernard19782l.html"
"BURGOA","Laurent","Groupe Les Républicains","Les Républicains","H","Gard","laurent-burgoa","http://www.senat.fr/senateur/burgoa_laurent20090e.html"
"CABANEL","Henri","Groupe du Rassemblement Démocratique et Social Européen","Parti radical de gauche","H","Hérault","henri-cabanel","http://www.senat.fr/senateur/cabanel_henri14207l.html"
"CADEC","Alain","Groupe Les Républicains","Les Républicains","H","Côtes-d'Armor","alain-cadec","http://www.senat.fr/senateur/cadec_alain20104s.html"
"CADIC","Olivier","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Français établis hors de France","olivier-cadic","http://www.senat.fr/senateur/cadic_olivier14255u.html"
"CALVET","François","Groupe Les Républicains","Les Républicains","H","Pyrénées-Orientales","francois-calvet","http://www.senat.fr/senateur/calvet_francois11101a.html"
"CAMBON","Christian","Groupe Les Républicains","Les Républicains","H","Val-de-Marne","christian-cambon","http://www.senat.fr/senateur/cambon_christian04042c.html"
"CANAYER","Agnès","Groupe Les Républicains","Les Républicains","F","Seine-Maritime","agnes-canayer","http://www.senat.fr/senateur/canayer_agnes14053l.html"
"CANÉVET","Michel","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Finistère","michel-canevet","http://www.senat.fr/senateur/canevet_michel14083s.html"
"CAPO-CANELLAS","Vincent","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Seine-Saint-Denis","vincent-capo-canellas","http://www.senat.fr/senateur/capo_canellas_vincent11053k.html"
"CAPUS","Emmanuel","Groupe Les Indépendants -République et Territoires","Mouvement Démocrate","H","Maine-et-Loire","emmanuel-capus","http://www.senat.fr/senateur/capus_emmanuel19545y.html"
"CARDON","Rémi","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Somme","remi-cardon","http://www.senat.fr/senateur/cardon_remi20060x.html"
"CARDOUX","Jean-Noël","Groupe Les Républicains","Les Républicains","H","Loiret","jean-noel-cardoux","http://www.senat.fr/senateur/cardoux_jean_noel11103c.html"
"CARLOTTI","Marie-Arlette","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Bouches-du-Rhône","marie-arlette-carlotti","http://www.senat.fr/senateur/carlotti_marie_arlette12028b.html"
"CARRÈRE","Maryse","Groupe du Rassemblement Démocratique et Social Européen","Parti radical de gauche","F","Hautes-Pyrénées","maryse-carrere","http://www.senat.fr/senateur/carrere_maryse19629c.html"
"CAZABONNE","Alain","Groupe Union Centriste","Mouvement Démocrate","H","Gironde","alain-cazabonne","http://www.senat.fr/senateur/cazabonne_alain19721w.html"
"CAZEBONNE","Samantha","Groupe Rassemblement des démocrates, progressistes et indépendants","En marche !","F","Français établis hors de France","samantha-cazebonne","http://www.senat.fr/senateur/cazebonne_samantha19057m.html"
"CHAIN-LARCHÉ","Anne","Groupe Les Républicains","Les Républicains","F","Seine-et-Marne","anne-chain-larche","http://www.senat.fr/senateur/chain_larche_anne14329v.html"
"CHAIZE","Patrick","Groupe Les Républicains","Les Républicains","H","Ain","patrick-chaize","http://www.senat.fr/senateur/chaize_patrick14038y.html"
"CHANTREL","Yan","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Français établis hors de France","yan-chantrel","http://www.senat.fr/senateur/chantrel_yan20264j.html"
"CHARON","Pierre","Groupe Les Républicains","Les Républicains","H","Paris","pierre-charon","http://www.senat.fr/senateur/charon_pierre11080n.html"
"CHASSEING","Daniel","Groupe Les Indépendants -République et Territoires","Union des démocrates, radicaux et libéraux","H","Corrèze","daniel-chasseing","http://www.senat.fr/senateur/chasseing_daniel14195a.html"
"CHATILLON","Alain","Groupe Les Républicains","Les Républicains","H","Haute-Garonne","alain-chatillon","http://www.senat.fr/senateur/chatillon_alain08028w.html"
"CHAUVET","Patrick","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Seine-Maritime","patrick-chauvet","http://www.senat.fr/senateur/chauvet_patrick20144b.html"
"CHAUVIN","Marie-Christine","Groupe Les Républicains","Les Républicains","F","Jura","marie-christine-chauvin","http://www.senat.fr/senateur/chauvin_marie_christine19467c.html"
"CHEVROLLIER","Guillaume","Groupe Les Républicains","Les Républicains","H","Mayenne","guillaume-chevrollier","http://www.senat.fr/senateur/chevrollier_guillaume18083k.html"
"de CIDRAC","Marta","Groupe Les Républicains","Les Républicains","F","Yvelines","marta-de-cidrac","http://www.senat.fr/senateur/de_cidrac_marta19701s.html"
"CIGOLOTTI","Olivier","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Haute-Loire","olivier-cigolotti","http://www.senat.fr/senateur/cigolotti_olivier14267y.html"
"COHEN","Laurence","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","F","Val-de-Marne","laurence-cohen","http://www.senat.fr/senateur/cohen_laurence11031d.html"
"CONCONNE","Catherine","Groupe Socialiste, Écologiste et Républicain","Parti progressiste Martiniquais","F","Martinique","catherine-conconne","http://www.senat.fr/senateur/conconne_catherine19295a.html"
"CONWAY-MOURET","Hélène","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Français établis hors de France","helene-conway-mouret","http://www.senat.fr/senateur/conway_mouret_helene11027h.html"
"CORBISEZ","Jean-Pierre","Groupe du Rassemblement Démocratique et Social Européen","Parti communiste Français","H","Pas-de-Calais","jean-pierre-corbisez","http://www.senat.fr/senateur/corbisez_jean_pierre19681g.html"
"COURTIAL","Édouard","Groupe Les Républicains","Les Républicains","H","Oise","edouard-courtial","http://www.senat.fr/senateur/courtial_edouard11115u.html"
